Data;Wojewodztwo;Liczba wykonanych testów
22.03.2020;Podkarpackie;106
22.03.2020;Podlaskie;50
22.03.2020;Pomorskie;201
22.03.2020;Śląskie;225
22.03.2020;Świętokrzyskie;74
22.03.2020;Warmińsko-Mazurskie;192
22.03.2020;Wielkopolskie;50
22.03.2020;Zachodniopomorskie;19
23.03.2020;Dolnośląskie;162
23.03.2020;Kujawsko-Pomorskie;13
23.03.2020;Lubelskie;292
23.03.2020;Lubuskie;72
23.03.2020;Łódzkie;202
23.03.2020;Małopolskie;173
23.03.2020;Mazowieckie;862
23.03.2020;Opolskie;38
23.03.2020;Podkarpackie;82
23.03.2020;Podlaskie;63
23.03.2020;Pomorskie;171
23.03.2020;Śląskie;171
23.03.2020;Świętokrzyskie;95
23.03.2020;Warmińsko-Mazurskie;43
23.03.2020;Wielkopolskie;186
23.03.2020;Zachodniopomorskie;25
24.03.2020;Dolnośląskie;221
24.03.2020;Kujawsko-Pomorskie;0
24.03.2020;Lubelskie;213
24.03.2020;Lubuskie;113
24.03.2020;Łódzkie;399
24.03.2020;Małopolskie;315
24.03.2020;Mazowieckie;607
24.03.2020;Opolskie;40
24.03.2020;Podkarpackie;175
24.03.2020;Podlaskie;91
24.03.2020;Pomorskie;76
24.03.2020;Śląskie;200
24.03.2020;Świętokrzyskie;116
24.03.2020;Warmińsko-Mazurskie;94
24.03.2020;Wielkopolskie;108
24.03.2020;Zachodniopomorskie;40
25.03.2020;Dolnośląskie;158
25.03.2020;Kujawsko-Pomorskie;21
25.03.2020;Lubelskie;245
25.03.2020;Lubuskie;113
25.03.2020;Łódzkie;316
25.03.2020;Małopolskie;252
25.03.2020;Mazowieckie;1081
25.03.2020;Opolskie;71
25.03.2020;Podkarpackie;123
25.03.2020;Podlaskie;88
25.03.2020;Pomorskie;152
25.03.2020;Śląskie;223
25.03.2020;Świętokrzyskie;201
25.03.2020;Warmińsko-Mazurskie;259
25.03.2020;Wielkopolskie;297
25.03.2020;Zachodniopomorskie;62
26.03.2020;Dolnośląskie;250
26.03.2020;Kujawsko-Pomorskie;0
26.03.2020;Lubelskie;256
26.03.2020;Lubuskie;208
26.03.2020;Łódzkie;457
26.03.2020;Małopolskie;225
26.03.2020;Mazowieckie;1130
26.03.2020;Opolskie;83
26.03.2020;Podkarpackie;192
26.03.2020;Podlaskie;99
